ano;fase;ensino.medio;n.anuario
2007;chamado;maior parte part;978
2007;chamado;meia publica;114
2007;chamado;supletivo;158
2007;chamado;outros;163
2007;matriculado;publica;2678
2007;matriculado;particular;7016
2007;matriculado;maior parte pub;171
2007;matriculado;maior parte part;262
2007;matriculado;meia publica;31
2007;matriculado;supletivo;30
2007;matriculado;outros;45
2008;inscrito;publica;41872
2008;inscrito;particular;71503
2008;inscrito;maior parte pub;1371
2008;inscrito;maior parte part;4119
2008;inscrito;meia publica;2353
2008;inscrito;supletivo;704
2008;inscrito;outros;743
2008;chamado;publica;9046
2008;chamado;particular;21810
2008;chamado;maior parte pub;752
2008;chamado;maior parte part;1121
2008;chamado;meia publica;601
2008;chamado;supletivo;162
2008;chamado;outros;168
2008;matriculado;publica;2275
2008;matriculado;particular;7123
2008;matriculado;maior parte pub;352
2008;matriculado;maior parte part;317
2008;matriculado;meia publica;185
2008;matriculado;supletivo;41
2008;matriculado;outros;61
2009;inscrito;publica;40863
2009;inscrito;particular;73033
2009;inscrito;maior parte pub;2256
2009;inscrito;maior parte part;3969
2009;inscrito;meia publica;604
2009;inscrito;supletivo;0
2009;inscrito;outros;810
2009;chamado;publica;10839
2009;chamado;particular;22737
2009;chamado;maior parte pub;635
2009;chamado;maior parte part;1127
2009;chamado;meia publica;126
2009;chamado;supletivo;0
2009;chamado;outros;212
2009;matriculado;publica;3101
2009;matriculado;particular;6943
2009;matriculado;maior parte pub;158
2009;matriculado;maior parte part;304
2009;matriculado;meia publica;20
2009;matriculado;supletivo;0
2009;matriculado;outros;65
2010;inscrito;publica;33329
2010;inscrito;particular;72903
2010;inscrito;maior parte pub;2014
2010;inscrito;maior parte part;4534
2010;inscrito;meia publica;636
2010;inscrito;supletivo;0
2010;inscrito;outros;327
2010;chamado;publica;9867
2010;chamado;particular;23198
2010;chamado;maior parte pub;565
2010;chamado;maior parte part;1332
2010;chamado;meia publica;162
2010;chamado;supletivo;0
2010;chamado;outros;77
2010;matriculado;publica;2567
2010;matriculado;particular;7560
2010;matriculado;maior parte pub;163
2010;matriculado;maior parte part;372
2010;matriculado;meia publica;35
2010;matriculado;supletivo;0
2010;matriculado;outros;25
2011;inscrito;publica;37099
2011;inscrito;particular;77439
2011;inscrito;maior parte pub;2032
2011;inscrito;maior parte part;4661
2011;inscrito;meia publica;571
2011;inscrito;supletivo;0
2011;inscrito;outros;324
2011;chamado;publica;10044
2011;chamado;particular;23626
2011;chamado;maior parte pub;567
2011;chamado;maior parte part;1316
2011;chamado;meia publica;114
2011;chamado;supletivo;0
2011;chamado;outros;98
2011;matriculado;publica;2533
2011;matriculado;particular;7635
2011;matriculado;maior parte pub;153
2011;matriculado;maior parte part;384
2011;matriculado;meia publica;25
2011;matriculado;supletivo;0
2011;matriculado;outros;22
2012;inscrito;publica;43277
2012;inscrito;particular;77149
2012;inscrito;maior parte pub;2107
2012;inscrito;maior parte part;4544
2012;inscrito;meia publica;644
2012;inscrito;supletivo;0
2012;inscrito;outros;333
2012;chamado;publica;8377
2012;chamado;particular;19289
2012;chamado;maior parte pub;401
2012;chamado;maior parte part;961
2012;chamado;meia publica;111
2012;chamado;supletivo;0
2012;chamado;outros;64
2012;matriculado;publica;2770
2012;matriculado;particular;7615
2012;matriculado;maior parte pub;148
2012;matriculado;maior parte part;332
2012;matriculado;meia publica;40
2012;matriculado;supletivo;0
2012;matriculado;outros;24
2013;inscrito;publica;48738
2013;inscrito;particular;81613
2013;inscrito;maior parte pub;2574
2013;inscrito;maior parte part;4484
2013;inscrito;meia publica;0
2013;inscrito;supletivo;0
2013;inscrito;outros;639
2013;chamado;publica;8585
2013;chamado;particular;18952
2013;chamado;maior parte pub;442
2013;chamado;maior parte part;830
2013;chamado;meia publica;0
2013;chamado;supletivo;0
2013;chamado;outros;134
2013;matriculado;publica;2670
2013;matriculado;particular;7920
2013;matriculado;maior parte pub;137
2013;matriculado;maior parte part;296
2013;matriculado;meia publica;0
2013;matriculado;supletivo;0
2013;matriculado;outros;59
2014;inscrito;publica;40765
2014;inscrito;particular;75832
2014;inscrito;maior parte pub;2122
2014;inscrito;maior parte part;3807
2014;inscrito;meia publica;0
2014;inscrito;supletivo;0
2014;inscrito;outros;4416
2014;chamado;publica;9744
2014;chamado;particular;15785
2014;chamado;maior parte pub;324
2014;chamado;maior parte part;651
2014;chamado;meia publica;0
2014;chamado;supletivo;0
2014;chamado;outros;967
2014;matriculado;publica;3453
2014;matriculado;particular;6917
2014;matriculado;maior parte pub;104
2014;matriculado;maior parte part;262
2014;matriculado;meia publica;0
2014;matriculado;supletivo;0
2014;matriculado;outros;428
2015;inscrito;publica;35153
2015;inscrito;particular;70413
2015;inscrito;maior parte pub;7465
2015;inscrito;maior parte part;9606
2015;inscrito;meia publica;0
2015;inscrito;supletivo;0
2015;inscrito;outros;4305
2015;chamado;publica;7376
2015;chamado;particular;15703
2015;chamado;maior parte pub;1571
2015;chamado;maior parte part;1886
2015;chamado;meia publica;0
2015;chamado;supletivo;0
2015;chamado;outros;935
2015;matriculado;publica;2444
2015;matriculado;particular;6925
2015;matriculado;maior parte pub;660
2015;matriculado;maior parte part;740
2015;matriculado;meia publica;0
2015;matriculado;supletivo;0
2015;matriculado;outros;395
